image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The size of the garage on the left is 39.37 square meters.,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"The area of the SALON is 47.19 square meters, and the area of the SEJOUR is 9.00 square meters.",0.0,0.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,The room directly connected to the GARAGE with an internal door is the CUISINE (kitchen).,1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,The room with an openable door to the TERRASSE is the SALON.,0.0,0.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"There are two bedrooms on the floor plan, labeled as Chambre 1 and Chambre 2.",1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"According to the floor plan, Chambre 1 has two windows.",0.0,0.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"CHAMBRE 1 has the largest area, measuring 13.01 m².",1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"The room with the largest area in m² is the garage, which measures 39.37 m².",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The area of the BAINS room is 5.90 square meters.,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,The room directly connected to the SEJOUR without an internal door is the CUISINE.,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,The room directly connected to the GARAGE with an internal door is the SALON.,0.0,0.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"There are three bedrooms available on the floor plan: Chambre 1, Chambre 2, and Chambre 3.",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,There is one door that gives access to the LINGERIE room.,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1 has the largest area at 11.01 m².,1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is Chambre 1, with an area of 11.01 square meters.",0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,CHAMBRE 3,1.0,1.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The area of the small toilet between Chambre 1 and Chambre 2 is 2.70 square meters.,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,The area of Chambre 2 is 11.63 square meters.,1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"The room directly connected to the GARAGE with an internal door is the ""A. CUIS"" (utility room).",0.0,0.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,The CUISINE room shows a table with six chairs around it.,0.0,0.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1,1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is the ""Séjour"" (Living room) with an area of 44.81 square meters. The largest room is the ""Garage"" with an area of 23.56 square meters.",0.0,0.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"The largest area is the ""BAINS"" with 5.90 m².",1.0,1.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,The size of the ABRI VOITURE is 16.00 square meters.,1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,The area of the BAINS room is 6.31 square meters.,1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,Chambre 3.,1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,1,0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1.,1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,"The room with the largest area in m² is the garage, which measures 32.88 m².",0.0,0.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,Chambre 1.,1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,"The GARAGE has the larger area. It is 32.88 m², while the ABRI VOITURE is 16.00 m².",1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,The listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa is 19.50m2.,1.0,1.0
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,The area of 'Dormitori 1' on the Planta Baixa is 9.70m2.,0.0,0.0
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"The area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3 is 10.90m2. This room is labeled as ""DISTRIBUIDOR"" on the floor plan.",0.0,0.0
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,The title block is located in the bottom right corner of the sheet.,1.0,1.0
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,There are 2 bedrooms (dormitory) available on the PLANTA BAIXA floor.,1.0,1.0
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,Dormitori 1.,0.0,0.0
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),"PLANTA BAIXA:
- Sala estar-menjador: 19.50m2
- Dormitori 1: 9.70m2
- Dormitori 2: 11.95m2
- Bany 1: 3.55m2
- Bany 2: 4.30m2
- Cucina: 10.20m2
- Traster: 2.90m2
- Distribuidor: 10.90m2
- Escalera: 6.15m2
- Porx: 14.65m2

PLANTA PIS 1º-2º-3º:
- Sala estar-menjador: 16.90m2
- Dormitori 1: 9.70m2
- Dormitori 2: 11.95m2
- Bany 1: 3.55m2
- Bany 2: 4.30m2
- Cucina: 10.20m2
- Traster: 2.90m2
- Distribuidor: 10.90m2
- Escalera: 6.15m2
- Porx: 14.65m2

The room with the largest area in both floor plans is the ""Sala estar-menjador"" (Living-Dining Room) with 19.50m2 on the ground floor and 16.90m2 on the first, second, and third floors.",0.0,0.0
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,DORMITORI 1.,1.0,1.0
