image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,"Based on the drawing, the size of the GARAGE is **39.37 m²**.",1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"Based on the provided architectural drawing, the area of the SALON and SEJOUR room is **47.19 m²**.",1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"Based on the provided floor plan, the room directly connected to the GARAGE with an internal door is **A.CUIS.**",1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,"Based on the architectural drawing, the room that has an openable door (indicated by a swing arc symbol) leading directly to the TERRASSE is the **CUISINE**.",1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"Based on the floor plan, there are **2** bedrooms (labeled ""CHAMBRE 1"" and ""CHAMBRE 2"").",1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"Based on the floor plan, Chambre 1 has **2** windows.",0.0,0.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the provided floor plan:

*   **CHAMBRE 1** has an area of 13.01 m²
*   **CHAMBRE 2** has an area of 12.02 m²

**CHAMBRE 1** has the largest area.",1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"Based on the provided architectural drawing, the room with the largest area is the **Salon/Sejour** with **47.19 m²**.",1.0,1.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,"Based on the provided drawing, the area of the BAINS room is **5.90 m²**.",1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,"Based on the provided floor plan, the room directly connected to the SEJOUR without an internal door is the **CUISINE**.",1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,"Based on the provided floor plan, the room directly connected to the GARAGE with an internal door is the **LINGERIE**.",1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,3,1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,"Based on the provided architectural drawing, there are **2** doors that give access to the LINGERIE room:
1.  One interior door connecting to the CUISINE.
2.  One interior door connecting to the GARAGE.

*(Note: The opening on the exterior wall is drawn with the standard symbol for a window in this plan, despite its height dimension).*",0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the provided drawing, the areas of the bedrooms are:

*   **CHAMBRE 1:** 11.01 m²
*   **CHAMBRE 2:** 10.09 m²
*   **CHAMBRE 3:** 10.10 m²

**CHAMBRE 1** has the largest area.",1.0,1.0
