image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,"**5,20 m x 6,20 m**",1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"**24 m²**

The salon-séjour forms a single open-plan room measuring 4.7 m × 5.1 m.",0.0,0.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"**Chambre 2**

The garage's internal door on its east wall directly connects to the adjacent Chambre 2 (12 m²), which contains the escalier. No other rooms share a direct door with the garage.",0.0,0.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,**SALON**,0.0,0.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,**3**,0.0,0.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,**2**,0.0,0.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**Chambre 1 (13 m²)**,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"**Salon (approx. 19 m²)**

The salon measures approximately 4.7 m × 4.1 m based on labeled dimensions, exceeding the garage (~19 m²), séjour (~15 m²), and labeled bedrooms (13 m² and 12 m²).",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,"**5.25**

The salle de bains (BAINS room) measures 3.50 m × 1.50 m.",0.0,0.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,"**SALON**

SEJOUR and SALON share an open-plan space with no separating internal door, unlike connections to CUISINE, BAIN, or CHAMBRE 1 (which have door arcs).",1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,**SALON**,0.0,0.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,**3**,1.0,1.0
