image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The size of the garage on the left is 39.37 m².,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,The area of the SALON and SEJOUR room is 47.19 square meters.,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"The room directly connected to the garage with an internal door is the ""CUISINE"" (kitchen).",1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,"The ""SEJOUR"" room has an openable door to the TERRASSE.",0.0,0.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,The floor plan shows two bedrooms.,1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,Chambre 1 has one window on the floor plan.,1.0,1.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,Chambre 1 has the largest area at 13.01 m².,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"The room with the largest area is the ""SEJOUR"" with 47.19 m².",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The area of the BAINS room is 5.90 square meters.,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,The room directly connected with SEJOUR without an internal door is the CUISINE.,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,"The ""LINGERIE"" room is directly connected to the GARAGE with an internal door.",1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,The floor plan has three bedrooms.,1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,The LINGERIE room has one door.,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,Chambre 1 has the largest area at 11.01 m².,1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is the ""Garage"" at 18.20 m².",1.0,1.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,Chambre 3 is closest to the ABRI.,1.0,1.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The area of the small TOILET between CHAMBRE 1 and CHAMBRE 2 is 2.70 m².,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,The area of Chambre 2 is 11.63 square meters.,1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"The room directly connected to the garage with an internal door is ""A.CUIS.""",0.0,0.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,There are four chairs shown in the CUISINE room.,0.0,0.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,Chambre 1 has the largest area at 11.88 m².,1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is the ""GARAGE"" with 23.56 m².",1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"The ""BAINS"" has the largest area at 5.90 m².",1.0,1.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,The size of the ABRI VOITURE is 16.00 square meters.,1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,The area of the BAINS room is 6.31 square meters.,1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,Chambre 3 has a window access to the terrace.,1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,There are two doors giving access to the DEGT space.,0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,Chambre 1 has the largest area at 10.95 m².,1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,The garage has the largest area at 32.88 m².,0.0,0.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,Chambre 1 is closer to the W.C.,1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,The GARAGE has a larger area (32.88 m²) compared to the ABRI VOITURE (16.00 m²).,1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,The listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa is 18.50 m².,0.0,0.0
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,The area of 'Dormitori 1' on the Planta Baixa is 7.52 m².,0.0,0.0
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"The area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase on Planta PIS 1-2-3, is 10.50 m².",0.0,0.0
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,The title block is located in the bottom right corner of the sheet.,1.0,1.0
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,The PLANTA BAIXA floor has 2 bedrooms (dormitoris).,1.0,1.0
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,"The bedroom labeled ""Dormitori 1"" on the Planta Baixa floor has the largest area.",0.0,0.0
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),"The room labeled ""Cuina-Est-Menjador"" on the ""PISOS 1ª-2ª-3ª"" has the largest area, measuring 18.50 m².",1.0,1.0
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,I can't determine whose DORMITORI door has a shorter traveling distance to the TRASTER room based on the image.,0.0,0.0
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,The listed total square footage of the 1st floor is 914 square feet.,1.0,1.0
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,"The safety note states: ""All smoke detectors linked w/ battery backup.""",1.0,1.0
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,The dishwasher (DW) is located directly adjacent to the kitchen sink.,0.0,0.0
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,The Kitchen is directly adjacent to the Pantry.,1.0,1.0
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,"The room positioned directly beside the Stair, sharing the longest adjoining wall, is the Bathroom/Laundry.",0.0,0.0
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,The bedroom has one window.,1.0,1.0
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,The Living Room has the largest area.,1.0,1.0
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,"The name of the main bedroom shown in the plan is ""Main Bedroom.""",1.0,1.0
