image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The garage on the left has an area of **39.37 m²**.,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,**47.19 m²**,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,The **CUISINE** (Kitchen) is directly connected to the GARAGE with an internal door.,1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,"The **SALON** (which is part of the main living area) has an openable door leading to the TERRASSE, as indicated by the door swing arc shown on the plan between the SALON and the TERRASSE.",0.0,0.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,**2 bedrooms** (Chambre 1 – 13.01 m² and Chambre 2 – 12.02 m²).,1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"**2 windows.**

Chambre 1 has one window on the south (bottom) wall and one window on the east (right) wall.",0.0,0.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**CHAMBRE 1** has the largest area at **13.01 m²** (compared to CHAMBRE 2 at 12.02 m²).,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,The **Séjour/Salon** (living room) has the largest area at **47.19 m²**.,1.0,1.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The area of the BAINS room is **5.90 m²**.,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,**CUISINE** is directly connected with SEJOUR without an internal door (they share an open passage).,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,The **SEJOUR** (living room) is directly connected to the GARAGE with an internal door.,0.0,0.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"**3 bedrooms** (Chambre 1 – 11.01 m², Chambre 2 – 10.09 m², Chambre 3 – 10.10 m²).",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,**1 door** gives access to the LINGERIE room.,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**CHAMBRE 1** has the largest area at **11.01 m²**.,1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"**TERRASSE** (22.00 m²)

The largest room is SEJOUR at 30.67 m², making TERRASSE at 22.00 m² the second largest.",0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,"**CHAMBRE 3** (Bedroom 3) is the closest to the ABRI, as they are directly adjacent to each other along the southern wall of the building.",1.0,1.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The small toilet (TOIL.) between CHAMBRE 1 and CHAMBRE 2 has an area of **2.70 m²**.,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,**11.63 m²**,1.0,1.0
