image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The left garage is **39.37 m²**.,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,The area of the **SALON and SEJOUR** room is **47.19 m²**.,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,The **garage** is directly connected by an internal door to the **A.CUIS** room.,1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,The **SALON / SEJOUR** has an openable door to the **TERRASSE**.,0.0,0.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,2 bedrooms.,1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,Chambre 1 has **1 window**.,1.0,1.0
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1 has the largest area: **13.01 m²**.,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"The largest room is the **Séjour**, with **47.19 m²**.",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The **BAINS** room area is **5.90 m²**.,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,CUISINE.,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,The **LINGERIE** (laundry room) is directly connected to the **GARAGE** by an internal door.,1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,3 bedrooms.,1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,2 doors.,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**Chambre 1** has the largest area: **11.01 m²**.,1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,The second largest area is the **Terrasse — 22.00 m²**.,0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,Chambre 3.,1.0,1.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The small **TOILET** between **CHAMBRE 1** and **CHAMBRE 2** has an area of **2.70 m²**.,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,11.63 m²,1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,The **garage** is directly connected by an internal door to **A.CUIS.** (arrière-cuisine / utility room).,1.0,1.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,4 chairs.,0.0,0.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1 has the largest area: **11.88 m²**.,1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,The second largest room is the **Garage — 23.56 m²**.,1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,BAINS has the largest area: **5.90 m²**.,1.0,1.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,The **ABRI VOITURE** is **16.00 m²**.,1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,The **BAINS** room area is **6.31 m²**.,1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,Bedroom 3 (Chambre 3).,1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,4 doors.,0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1 has the largest area: **10.95 m²**.,1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,"The largest room is **SEJOUR/SALON/ENTREE**, with **44.38 m²**.",1.0,1.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,Chambre 1.,1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,The **GARAGE** has the larger area (**32.88 m²**) compared to the **ABRI VOITURE** (**16.00 m²**).,1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,"The listed area of the **Cuina-Estar-Menjador** on the **Planta Baixa** is **19,50 m²**.",1.0,1.0
